alertid,description,zip,latitude,longitude,severity,type,created,userid,user_type
66,Thefts,1551,14.576197,121.037824,warning,theft,,HJBarcelona,system
67,Attempted Murder,1551,14.575455,121.033468,emergency,violence,,LSVillanueva,system
68,Thefts,1551,14.574843,121.031183,warning,theft,,KAMonceda,system
69,Robbery No Firearm,1214,14.556546,121.039455,warning,theft,,THPresidente,system
70,Aggravated Assault No Firearm,1551,14.560638,121.029177,warning,violence,,CGCanencia,normal
71,Robbery No Firearm,1206,14.5553,121.024306,warning,theft,,SKDesiderio,normal
72,Aggravated Assault No Firearm,1201,14.541251,121.032518,emergency,violence,,SPVillaromn,system
73,Car Accident,1201,14.535684,121.034127,warning,traffic,,DCOcampo,normal
74,Theft from Vehicle,1232,14.532631,121.028205,emergency,theft,,OMOpulencia,normal
75,Theft from Vehicle,1201,14.526856,121.035071,warning,theft,,QERana,system
76,Thefts,1201,14.52615,121.039577,warning,theft,,JTSalazar,normal
77,Thefts,1201,14.526939,121.029471,warning,theft,,NSDigamon,normal
78,Robbery No Firearm,1232,14.523387,121.026295,warning,theft,,JSSevilla,system
79,Thefts,1201,14.518693,121.040586,warning,theft,,RBVicente,authority
80,Fire Accident,1201,14.525257,121.043654,emergency,fire,,WGLegazp,system
81,Drug User Caught,1201,14.53504,121.033762,warning,drug,,DBCapistrano,system
82,Theft from Vehicle,1232,14.548694,121.027202,warning,theft,,TRRoces,normal
83,Aggravated Assault No Firearm,1232,14.545786,121.023769,warning,violence,,LNEspaol,normal
84,Theft from Vehicle,1232,14.550708,121.022331,warning,theft,,CIYllana,authority
85,Aggravated Assault No Firearm,1206,14.566465,121.010091,warning,violence,,DCNallos,system
86,Thefts,1206,14.565572,121.02067,warning,theft,,RTLzaro,system
87,Thefts,1551,14.567586,121.026743,warning,theft,,BDTolosa,system
88,Thefts,1206,14.558635,121.016679,warning,theft,,MABlanco,authority
89,Fire Accident,1232,14.546709,121.016164,emergency,fire,,GJInrez,authority
90,Robbery No Firearm,1232,14.54486,121.012881,warning,theft,,LRAlonzo,system
91,Theft from Vehicle,1232,14.537804,121.002639,warning,theft,,CECrdova,normal
92,Burglary Residential,1232,14.541439,120.999914,warning,theft,,GDCarrasco,system
93,Thefts,1232,14.537141,120.998533,warning,theft,,SKPelayo,normal
94,Thefts,1232,14.53388,121.00349,warning,theft,,JPMiedes,authority
95,Attempted Murder,1232,14.544452,120.997975,emergency,violence,,PAAlejandro,system
96,Burglary Non-Residential,1109,14.547396,120.997319,warning,theft,,ACSantilln,normal
97,Motor Vehicle Theft,1004,14.554726,120.997555,warning,theft,,HBGuevarra,normal
98,Theft from Vehicle,1004,14.553672,120.996332,warning,theft,,BJOcampo,normal
99,Theft from Vehicle,1004,14.555427,120.995699,warning,theft,,RJRosales,normal
100,Robbery No Firearm,1109,14.550821,120.994384,warning,theft,,EOInfante,authority
101,Robbery Firearm,1206,14.558141,121.008626,emergency,violence,,GJDaz,system
102,Drug User Caught,1232,14.543933,121.013959,warning,drug,,MHMontilla,authority
103,Theft from Vehicle,1232,14.545311,121.006914,warning,theft,,GKTorrealba,normal
104,Attempted Murder,1232,14.532886,121.016452,emergency,violence,,CJRojas,normal
105,Thefts,1232,14.534868,121.02378,warning,theft,,DMBernardino,normal
106,Thefts,1232,14.539872,121.02612,warning,theft,,JRRana,normal
107,Drug User Caught,1201,14.5411,121.032793,warning,drug,,SGAbracosa,authority
108,Theft from Vehicle,1201,14.539275,121.03483,warning,theft,,IDEspaa,authority
109,Motor Vehicle Theft,1232,14.542009,121.020639,emergency,theft,,JKVicente,authority
110,Thefts,1232,14.539226,121.01669,warning,theft,,VMQuerubn,normal
111,Motor Vehicle Theft,1232,14.535761,121.013337,warning,theft,,DFManjn,authority
112,Theft from Vehicle,1232,14.550636,121.01805,warning,theft,,BQEscribano,normal
113,Murder,1232,14.550667,121.015696,warning,violence,,GWNatividad,normal
114,Fire Accident,1206,14.558534,121.014031,emergency,fire,,MRGuevara,normal
115,Robbery No Firearm,1232,14.551431,121.011328,warning,theft,,BCAquino,system
116,Thefts,1232,14.548553,121.015977,warning,theft,,EJAtayde,system
117,Thefts,1232,14.538981,121.009197,warning,theft,,FLSalinas,authority
118,Thefts,1232,14.540156,121.025917,warning,theft,,SFAlcntara,normal
119,Motor Vehicle Theft,1232,14.537137,121.02748,emergency,theft,,RJNatural,normal
120,Robbery Firearm,1232,14.531644,121.029232,emergency,theft,,VIRana,normal
121,Murder,1201,14.528334,121.03135,emergency,violence,,NKRomero,normal
122,Thefts,1201,14.530537,121.035589,warning,theft,,JFEstolas,system
123,Attempted Murder,1201,14.526919,121.031222,warning,violence,,IEGoyena,normal
124,Thefts,1201,14.530581,121.041187,warning,theft,,LBFajardo,authority
125,Drug User Caught,1218,14.538944,121.047641,warning,drug,,LAAlonzo,normal
126,Theft from Vehicle,1218,14.542841,121.046712,warning,theft,,AOMartnez,normal
127,Car Accident,1213,14.545848,121.05096,emergency,traffic,,CDArabejo,normal
128,Raided Drug Dealers,1213,14.545972,121.048514,warning,drug,,PTMadrid,normal
129,Thefts,1201,14.532661,121.030547,warning,theft,,TJCastillo,system
130,Theft from Vehicle,1201,14.525555,121.031466,warning,theft,,NHVerano,normal
131,Thefts,1232,14.52487,121.024311,warning,theft,,EJEscribano,authority
132,Thefts,1201,14.532847,121.031515,warning,theft,,BJRojas,normal
133,Attempted Murder,1214,14.555722,121.042856,warning,violence,,OSRivera,normal
134,Thefts,1214,14.560003,121.043758,warning,theft,,DCAlonzo,authority
135,Murder,1214,14.568051,121.037393,emergency,theft,,AECerezo,authority
136,Raided Drug Dealers,1551,14.578153,121.034663,warning,drug,,LKGutirrez,normal
137,Aggravated Assault No Firearm,1551,14.576059,121.027516,warning,violence,,SHSilva,normal
138,Robbery No Firearm,1206,14.558586,121.014055,warning,theft,,NMEstillore,normal
139,Motor Vehicle Theft,1109,14.535539,120.985707,warning,theft,,BJMarquez,system
140,Car Accident,1109,14.552803,120.989184,emergency,traffic,,JTAcevedo,system
141,Motor Vehicle Theft,1004,14.559424,120.986528,warning,theft,,PTGil,normal
142,Robbery Firearm,1004,14.568414,120.990375,emergency,theft,,JXRivera,normal
143,Thefts,1004,14.576858,120.997175,warning,theft,,JDValle,normal
144,Robbery No Firearm,1206,14.566214,121.002885,warning,theft,,CPAbad,authority
145,Robbery No Firearm,1551,14.578295,121.027302,warning,theft,,RRValdez,normal
146,Aggravated Assault Firearm,1600,14.571489,121.064891,warning,violence,,JLMercadejas,normal
147,Motor Vehicle Theft,1600,14.571425,121.071271,emergency,theft,,DQArcega,authority
148,Fire Accident,1602,14.562176,121.084729,warning,fire,,PJInfanta,system
149,Robbery No Firearm,1602,14.550701,121.082109,warning,theft,,RJEscalante,authority
150,Thefts,1776,14.547112,121.082016,warning,theft,,EOBalandra,normal
